filename,PSNR,SSIM,MSE
1.jpg,16.5356,0.8261,0.022205
1000.jpg,30.8746,0.9265,0.000818
1008.jpg,22.9439,0.9123,0.005077
1016.jpg,24.0957,0.8188,0.003894
1017.jpg,34.6180,0.9723,0.000345
1021.jpg,22.0491,0.8385,0.006239
1025.jpg,25.7524,0.9363,0.002659
103.jpg,24.1902,0.9218,0.003810
1030.jpg,23.3256,0.8989,0.004650
1031.jpg,30.6517,0.9735,0.000861
1038.jpg,23.6863,0.8930,0.004279
1040.jpg,24.7209,0.9219,0.003372
1041.jpg,20.5797,0.9195,0.008751
1044.jpg,24.9707,0.9259,0.003184
1045.jpg,24.4410,0.9332,0.003597
105.jpg,28.4636,0.9399,0.001424
1062.jpg,20.4442,0.8748,0.009028
1064.jpg,26.9039,0.9335,0.002040
1066.jpg,22.4909,0.9322,0.005635
1069.jpg,26.2065,0.9668,0.002395
1070.jpg,27.1587,0.9458,0.001924
1071.jpg,28.4379,0.9530,0.001433
1072.jpg,19.7005,0.8611,0.010714
1074.jpg,19.5379,0.8839,0.011123
1076.jpg,27.4300,0.9346,0.001807
108.jpg,25.0027,0.8916,0.003160
1094.jpg,23.7977,0.8896,0.004171
1109.jpg,25.2956,0.8873,0.002954
1110.jpg,19.3327,0.8490,0.011661
1111.jpg,26.5473,0.9262,0.002214
1121.jpg,21.2253,0.8291,0.007542
1137.jpg,20.6599,0.8734,0.008590
1149.jpg,24.6025,0.9626,0.003465
115.jpg,28.2778,0.9735,0.001487
1157.jpg,25.6302,0.9612,0.002735
1162.jpg,27.0406,0.9008,0.001977
117.jpg,28.2392,0.9629,0.001500
1174.jpg,27.4309,0.8921,0.001807
1175.jpg,24.0430,0.9351,0.003942
1176.jpg,22.1138,0.9431,0.006146
1185.jpg,25.9619,0.9317,0.002534
1186.jpg,27.7098,0.9462,0.001694
1187.jpg,20.8011,0.8969,0.008315
1188.jpg,23.1317,0.9196,0.004862
1197.jpg,33.0670,0.9467,0.000494
1203.jpg,22.5083,0.8814,0.005613
1204.jpg,27.9897,0.9199,0.001589
1210.jpg,19.0966,0.8594,0.012312
1211.jpg,26.2514,0.9373,0.002371
1213.jpg,20.8917,0.8747,0.008144
1219.jpg,24.3822,0.9201,0.003646
1227.jpg,27.5506,0.9320,0.001758
1230.jpg,22.4529,0.8948,0.005685
1236.jpg,23.2580,0.9090,0.004723
1241.jpg,26.3322,0.8771,0.002327
1245.jpg,23.2444,0.8265,0.004738
1252.jpg,30.7031,0.9065,0.000851
1253.jpg,21.8384,0.9165,0.006549
1258.jpg,26.4699,0.8936,0.002254
1263.jpg,23.6098,0.9134,0.004355
1264.jpg,24.3485,0.9462,0.003674
1278.jpg,22.3556,0.9276,0.005814
1282.jpg,19.7828,0.8927,0.010513
129.jpg,26.9608,0.9591,0.002013
1293.jpg,13.5453,0.7289,0.044205
1295.jpg,27.8139,0.8599,0.001654
130.jpg,23.8151,0.9192,0.004154
1302.jpg,14.8946,0.8906,0.032400
1314.jpg,23.9893,0.8621,0.003991
1326.jpg,28.1117,0.9458,0.001545
1329.jpg,29.4114,0.9666,0.001145
133.jpg,26.2748,0.9079,0.002358
134.jpg,25.5483,0.9355,0.002787
1341.jpg,27.3190,0.8814,0.001854
1347.jpg,20.7721,0.8641,0.008371
1356.jpg,21.8688,0.8526,0.006503
1369.jpg,25.0442,0.9195,0.003130
1373.jpg,25.9594,0.9148,0.002535
1376.jpg,25.3359,0.9129,0.002927
1377.jpg,24.4861,0.8949,0.003559
138.jpg,25.5779,0.9306,0.002768
1385.jpg,29.0156,0.9608,0.001254
139.jpg,20.0608,0.8975,0.009861
1392.jpg,24.1132,0.9059,0.003879
1395.jpg,26.5172,0.8603,0.002230
1402.jpg,20.9920,0.9016,0.007958
1403.jpg,27.3039,0.8983,0.001860
1404.jpg,16.6957,0.8612,0.021401
1405.jpg,29.4455,0.9434,0.001136
1406.jpg,26.5415,0.9496,0.002217
1412.jpg,29.2237,0.9479,0.001196
1421.jpg,25.5815,0.9200,0.002766
1435.jpg,21.7019,0.8733,0.006758
1440.jpg,26.4778,0.8827,0.002250
1441.jpg,22.4526,0.9161,0.005685
1443.jpg,24.7624,0.9541,0.003340
1447.jpg,19.0241,0.9339,0.012520
1451.jpg,29.4040,0.9493,0.001147
1456.jpg,26.8849,0.9574,0.002049
1457.jpg,27.8467,0.9665,0.001642
1458.jpg,23.9434,0.9421,0.004033
1459.jpg,27.1476,0.9575,0.001929
1462.jpg,21.4399,0.8994,0.007178
1463.jpg,29.2028,0.9631,0.001201
1472.jpg,28.8160,0.9708,0.001313
1478.jpg,23.6228,0.9470,0.004342
1484.jpg,29.3689,0.9267,0.001156
1486.jpg,27.7972,0.9359,0.001661
149.jpg,23.5033,0.8939,0.004463
1491.jpg,24.2810,0.9378,0.003732
1495.jpg,25.6289,0.8904,0.002736
1497.jpg,24.1334,0.8973,0.003861
15.jpg,23.3619,0.9318,0.004611
150.jpg,27.2707,0.8834,0.001875
1503.jpg,28.5254,0.9769,0.001404
1514.jpg,26.5233,0.8875,0.002227
1517.jpg,24.8132,0.9426,0.003301
1518.jpg,23.4724,0.9389,0.004495
152.jpg,21.5830,0.9381,0.006945
1524.jpg,12.4290,0.8210,0.057161
1528.jpg,22.3093,0.8200,0.005876
1531.jpg,29.1747,0.8513,0.001209
1534.jpg,19.7688,0.9085,0.010547
154.jpg,20.7607,0.8136,0.008393
1542.jpg,22.7220,0.9108,0.005343
1543.jpg,26.3867,0.9463,0.002298
1546.jpg,19.5367,0.9150,0.011126
1556.jpg,26.8113,0.8919,0.002084
1557.jpg,24.9967,0.8969,0.003165
1559.jpg,25.5747,0.9155,0.002770
1563.jpg,18.9302,0.8779,0.012793
1566.jpg,23.0519,0.8877,0.004952
1570.jpg,21.4127,0.8378,0.007223
1573.jpg,17.0748,0.8991,0.019612
1596.jpg,26.2969,0.9393,0.002346
1597.jpg,27.0159,0.9305,0.001988
160.jpg,20.7740,0.9417,0.008368
1603.jpg,27.9952,0.9220,0.001587
1604.jpg,30.4022,0.9532,0.000912
161.jpg,30.3299,0.9742,0.000927
1611.jpg,29.3844,0.9601,0.001152
1618.jpg,29.8248,0.9509,0.001041
1637.jpg,24.4882,0.9483,0.003558
1639.jpg,28.1199,0.9389,0.001542
1640.jpg,20.9211,0.8374,0.008089
1644.jpg,24.8957,0.9007,0.003239
1645.jpg,22.1797,0.9072,0.006054
1648.jpg,23.4169,0.8993,0.004553
1650.jpg,22.7510,0.8553,0.005308
1659.jpg,21.1008,0.8914,0.007761
1667.jpg,20.0850,0.8653,0.009806
1674.jpg,30.7458,0.9703,0.000842
168.jpg,27.7473,0.9540,0.001680
1680.jpg,21.5075,0.8715,0.007067
1682.jpg,28.0004,0.9659,0.001585
1685.jpg,26.1870,0.9337,0.002406
1686.jpg,22.2195,0.9331,0.005999
1694.jpg,25.1255,0.9494,0.003072
1703.jpg,28.1214,0.9577,0.001541
1709.jpg,25.3545,0.9324,0.002914
1710.jpg,22.4067,0.9357,0.005746
1712.jpg,23.6116,0.8874,0.004353
1716.jpg,22.9561,0.9468,0.005063
1721.jpg,26.9274,0.8960,0.002029
1725.jpg,23.6169,0.9224,0.004348
1728.jpg,19.9082,0.8767,0.010214
1733.jpg,27.6877,0.8985,0.001703
1739.jpg,28.0682,0.9724,0.001560
1743.jpg,28.0015,0.9583,0.001584
1747.jpg,23.6906,0.9210,0.004275
1748.jpg,19.1543,0.8190,0.012150
1753.jpg,25.3068,0.8136,0.002947
1754.jpg,23.8767,0.9095,0.004096
1756.jpg,24.4237,0.9555,0.003611
1758.jpg,24.6142,0.9286,0.003456
1769.jpg,25.2967,0.9335,0.002953
1772.jpg,16.8056,0.7106,0.020866
1774.jpg,18.8469,0.8140,0.013041
1776.jpg,30.1553,0.9137,0.000965
1782.jpg,23.2299,0.9454,0.004754
1793.jpg,20.3212,0.9350,0.009287
1796.jpg,15.7783,0.6359,0.026434
1797.jpg,22.9392,0.9332,0.005083
1800.jpg,28.4174,0.9150,0.001440
1802.jpg,24.8663,0.9218,0.003261
1803.jpg,22.8882,0.9406,0.005143
1808.jpg,25.2551,0.9216,0.002982
1810.jpg,24.6413,0.9271,0.003435
1822.jpg,25.0924,0.9504,0.003096
1830.jpg,28.1805,0.9258,0.001520
1835.jpg,24.0664,0.9151,0.003921
1840.jpg,24.4839,0.9422,0.003561
1841.jpg,31.1997,0.9422,0.000759
1844.jpg,23.4108,0.8783,0.004560
185.jpg,21.4049,0.8026,0.007236
1851.jpg,25.2595,0.9156,0.002979
1857.jpg,25.8643,0.9303,0.002592
1863.jpg,17.6985,0.8045,0.016988
1864.jpg,28.3401,0.9160,0.001465
187.jpg,19.6205,0.8795,0.010913
1872.jpg,23.0420,0.9150,0.004964
1876.jpg,28.9587,0.9763,0.001271
188.jpg,20.5893,0.9128,0.008731
1881.jpg,23.9710,0.9365,0.004008
1883.jpg,22.8115,0.8484,0.005234
1884.jpg,24.6715,0.9055,0.003411
1893.jpg,24.0439,0.8212,0.003941
1906.jpg,23.4612,0.9096,0.004507
1914.jpg,20.9397,0.9042,0.008054
1922.jpg,23.8145,0.9553,0.004155
1925.jpg,20.2519,0.8610,0.009436
1927.jpg,25.4972,0.9469,0.002820
1933.jpg,25.0351,0.9382,0.003137
1935.jpg,19.0865,0.8729,0.012341
1939.jpg,29.8328,0.9784,0.001039
1942.jpg,25.6021,0.9571,0.002753
1945.jpg,21.5268,0.8433,0.007036
1959.jpg,31.8501,0.9640,0.000653
1969.jpg,27.9273,0.9474,0.001612
197.jpg,21.2706,0.9205,0.007464
1979.jpg,23.9948,0.9238,0.003986
1989.jpg,30.1578,0.9716,0.000964
1992.jpg,18.7830,0.8652,0.013234
1995.jpg,20.9915,0.9020,0.007959
1996.jpg,26.1866,0.9159,0.002406
1999.jpg,27.2277,0.9530,0.001893
200.jpg,27.7190,0.9361,0.001691
2000.jpg,22.9198,0.9257,0.005105
2001.jpg,20.1312,0.8666,0.009702
2004.jpg,23.9598,0.9165,0.004018
2005.jpg,25.6492,0.9286,0.002723
2010.jpg,27.9514,0.8896,0.001603
2012.jpg,22.7033,0.8716,0.005366
2013.jpg,27.7055,0.9514,0.001696
2015.jpg,24.5356,0.9396,0.003519
202.jpg,24.1708,0.7581,0.003827
2020.jpg,25.7729,0.9610,0.002647
2021.jpg,24.0304,0.9115,0.003953
2026.jpg,26.9174,0.9404,0.002034
2027.jpg,28.4081,0.9077,0.001443
2028.jpg,22.4069,0.7949,0.005745
2036.jpg,22.5728,0.8853,0.005530
2037.jpg,22.2686,0.8401,0.005931
2041.jpg,25.4609,0.9469,0.002844
2046.jpg,20.3748,0.9133,0.009173
2048.jpg,21.7366,0.9488,0.006704
2049.jpg,15.4560,0.8407,0.028471
205.jpg,20.0990,0.8950,0.009775
2051.jpg,21.4736,0.8974,0.007123
2060.jpg,18.1193,0.9034,0.015420
2067.jpg,20.5942,0.9066,0.008721
2069.jpg,26.6021,0.9509,0.002187
2077.jpg,24.9210,0.9724,0.003220
2078.jpg,25.2921,0.9337,0.002957
2083.jpg,28.8252,0.9782,0.001311
2086.jpg,20.4510,0.8747,0.009014
209.jpg,23.5198,0.9526,0.004447
2090.jpg,23.8281,0.9284,0.004142
2093.jpg,25.6331,0.9469,0.002733
2098.jpg,18.1840,0.8274,0.015192
21.jpg,20.3607,0.8886,0.009203
2106.jpg,22.1565,0.9086,0.006086
2108.jpg,29.8433,0.9135,0.001037
2119.jpg,23.1478,0.8710,0.004844
2120.jpg,28.4587,0.9694,0.001426
2127.jpg,28.2557,0.9611,0.001494
213.jpg,24.0265,0.9295,0.003957
2133.jpg,26.4510,0.9003,0.002264
2137.jpg,24.2754,0.9220,0.003736
2139.jpg,28.5499,0.9279,0.001396
2143.jpg,26.5319,0.9467,0.002222
2149.jpg,22.7972,0.8833,0.005251
2155.jpg,23.9821,0.9173,0.003998
2161.jpg,20.8553,0.8858,0.008212
2164.jpg,20.1635,0.8774,0.009630
2175.jpg,30.5551,0.9674,0.000880
2177.jpg,26.7666,0.9273,0.002105
2184.jpg,22.4646,0.9283,0.005669
2188.jpg,24.9527,0.9137,0.003197
2189.jpg,19.8262,0.8679,0.010408
2200.jpg,28.3308,0.9360,0.001469
2202.jpg,20.5259,0.8807,0.008859
2209.jpg,24.5773,0.9351,0.003486
2227.jpg,26.7714,0.9199,0.002103
2229.jpg,27.9472,0.9334,0.001604
2231.jpg,25.9294,0.9464,0.002553
2234.jpg,25.4496,0.9488,0.002851
2259.jpg,20.4832,0.9221,0.008947
2260.jpg,27.3246,0.9186,0.001852
2272.jpg,20.3240,0.8951,0.009281
2274.jpg,21.5768,0.8820,0.006955
2277.jpg,28.3080,0.9668,0.001476
2285.jpg,26.6484,0.9229,0.002164
2297.jpg,26.8258,0.9550,0.002077
2311.jpg,24.8310,0.9161,0.003288
2317.jpg,25.2255,0.9366,0.003002
2318.jpg,19.8833,0.8859,0.010272
2320.jpg,25.0907,0.9447,0.003097
2324.jpg,23.4965,0.9248,0.004470
2337.jpg,21.5827,0.8521,0.006946
2341.jpg,27.7441,0.9664,0.001681
2342.jpg,23.5976,0.9633,0.004368
2343.jpg,26.6736,0.8916,0.002151
2344.jpg,19.9248,0.8240,0.010175
2348.jpg,24.7722,0.9352,0.003333
235.jpg,20.8832,0.8747,0.008160
2380.jpg,26.2969,0.9345,0.002346
2382.jpg,29.2097,0.9326,0.001200
2383.jpg,22.7949,0.9645,0.005254
2387.jpg,24.0470,0.9227,0.003938
2395.jpg,24.7070,0.9430,0.003383
2400.jpg,23.5495,0.9248,0.004416
2402.jpg,21.3387,0.9253,0.007347
2417.jpg,27.9684,0.9562,0.001596
2420.jpg,25.0208,0.9301,0.003147
2421.jpg,27.5575,0.9409,0.001755
2432.jpg,25.1035,0.9413,0.003088
2434.jpg,28.1835,0.9466,0.001519
2435.jpg,23.3374,0.6686,0.004637
